anaphylaxis | C0002792
Anaphylaxis caused by vaccine product containing Streptococcus pneumoniae antigen | C5549835
Non-allergic anaphylaxis caused by aspirin | C0344180
Non-allergic anaphylaxis caused by drug | C0344178
Non-allergic anaphylaxis caused by immunoglobulin | C0344176
Anaphylaxis caused by allergy skin test | C5687621
Anaphylaxis due to mast cell disorder | C4543745
Anaphylaxis caused by honey bee venom | C5817055
anaphylaxis due to contact with allergens | C4736213
anaphylaxis due to influenza virus vaccine | C5824941
anaphylaxis due to human poliovirus vaccine | C5824947
anaphylaxis from anesthesia due to overdose | C2103671
anaphylaxis secondary to mast cell disorder | C4736214
Anaphylaxis caused by vaccine product containing human poliovirus antigen | C5549837
Anaphylaxis caused by vaccine product containing Influenza virus antigen | C5549841
Anaphylaxis caused by vaccine product containing Hepatitis B virus antigen | C3494649
Non-allergic anaphylaxis caused by whole blood | C0344175
Anaphylaxis caused by Hevea brasiliensis latex protein | C5438739
Non-allergic anaphylaxis caused by parasympathomimetic agent | C5547724
Non-allergic anaphylaxis caused by food additive | C3697499
anaphylaxis due to SARS-CoV-2 vaccine | C5824948
anaphylaxis due to varicella-zoster-containing vaccine | C5824943
anaphylaxis due to hepatitis A virus vaccine | C5824942
anaphylaxis from anesthesia due to halothane overdose | C2103673
anaphylaxis provoked by physical factors cold-induced | C4736211
anaphylaxis provoked by physical factors exercise-induced | C4736210
anaphylaxis from anesthesia due to ether overdose | C2103674
Anaphylaxis caused by vaccine containing Human alphaherpesvirus 3 antigen | C5549839
Anaphylaxis due to Hemophilus influenzae type b vaccine | C3536632
Anaphylaxis caused by vaccine product containing Hepatitis A virus antigen | C5549836
Anaphylaxis caused by non-steroidal anti-inflammatory agent | C5879842
Non-allergic anaphylaxis caused by organic phosphorous compound | C5547723
Anaphylaxis caused by vaccine product containing only Clostridium tetani and Corynebacterium diphtheriae antigens | C3494646
anaphylaxis due to recombinant herpes-zoster-containing vaccine | C5824944
anaphylaxis from anesthesia due to nitrous oxide overdose | C2103672
Improper medication administration, medication side effects, toxicity, anaphylaxis | C3845513
Anaphylaxis caused by vaccine product containing Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens | C5549838
Anaphylaxis caused by insect bite and/or insect sting | C5397548
anaphylaxis due to live attenuated herpes-zoster-containing vaccine | C5824945
Anaphylaxis caused by vaccine product containing human alphaherpesvirus 3 recombinant surface glycoprotein E antigen | C5549842
Anaphylaxis caused by vaccine product containing live attenuated human alphaherpesvirus 3 antigen | C5549843
Non-allergic anaphylaxis caused by non steroidal anti-inflammatory drug | C0344179
Shock co-occurrent and due to anaphylaxis caused by serum | C4544077
Anaphylaxis caused by component of vaccine product against severe acute respiratory syndrome coronavirus 2 | C5921028
Anaphylaxis caused by component of vaccine product containing low dose acellular Bordetella pertussis and Clostridium tetani and low dose Corynebacterium diphtheriae antigens | C3494647
Anaphylaxis due to the vaccine on or before the date of the encounter (M1311) | C5849231
Anaphylaxis due to the vaccine on or before the date of the encounter (M1219) | C5849232
Anaphylaxis caused by component of vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens | C5847602
